         199
 1890 (N,NTA-g)         -30070   3 1      10 1   10030 1   20040
 1892 (N,NTA-s)         -30068   3 1      10 1   10030 1   20040
 1900 (N,2N2P-g)        -20030   2 2      10 2   10010
 1902 (N,2N2P-s)        -20028   2 2      10 2   10010
 1910 (N,PH-g)          -30030   2 1   10010 1   20030
 1912 (N,PH-s)          -30028   2 1   10010 1   20030
 1920 (N,DH-g)          -30040   2 1   10020 1   20030
 1930 (N,HA-g)          -40060   2 1   20030 1   20040
 1932 (N,HA-s)          -40058   2 1   20030 1   20040
 1940 (N,4N2P-g)        -20050   2 4      10 2   10010
 1942 (N,4N2P-s)        -20048   2 4      10 2   10010
 1950 (N,4N2A-g)        -40110   2 4      10 2   20040
 1952 (N,4N2A-s)        -40108   2 4      10 2   20040
 1960 (N,4NPA-g)        -30080   3 4      10 1   10010 1   20040
 1962 (N,4NPA-s)        -30078   3 4      10 1   10010 1   20040
 1970 (N,3P-g)          -30020   1 3   10010
 1972 (N,3P-s)          -30018   1 3   10010
 1980 (N,N3P-g)         -30030   2 1      10 3   10010
 1982 (N,N3P-s)         -30028   2 1      10 3   10010
 1990 (N,3N2PA-g)       -40080   3 3      10 2   10010 1   20040
 1992 (N,3N2PA-s)       -40078   3 3      10 2   10010 1   20040
 2000 (N,5N2P-g)        -20060   2 5      10 2   10010
 2002 (N,5N2P-s)        -20058   2 5      10 2   10010
